object,type,direct_supabase_usage_count,plain_text_usage_count,migration_usage_count,direct_supabase_usage_files,plain_text_usage_files,migration_usage_files
admin_audit_logs,table,9,13,3,app/backend/app/api/admin_scrape.py; app/backend/app/api/admin_trust.py; app/backend/app/api/eligibility.py; app/backend/app/api/notifications.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/019_admin_rbac_audit.sql; app/supabase/migrations/023_fix_service_role_policies.sql; app/supabase/migrations/071_trust_pipeline_hardening.sql; docs/schema/supabase -Schema.md,app/backend/app/api/admin_scrape.py; app/backend/app/api/admin_trust.py; app/backend/app/api/eligibility.py; app/backend/app/api/notifications.py; app/backend/tests/test_admin_mutations.py; app/backend/tests/test_admin_queue.py; app/backend/tests/test_eligibility_api_integration.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/engineering/admin-strategy.md; docs/engineering/runbook.md; docs/feature-registry.md; docs/schema/supabase -Schema.md; memory/PRD.md,app/supabase/migrations/019_admin_rbac_audit.sql; app/supabase/migrations/023_fix_service_role_policies.sql; app/supabase/migrations/071_trust_pipeline_hardening.sql
admin_settings,table,4,7,1,app/backend/app/notifications/dispatcher.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/032_admin_settings.sql; docs/schema/supabase -Schema.md,app/backend/app/api/notifications.py; app/backend/app/notifications/__init__.py; app/backend/app/notifications/dispatcher.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/frontend/src/pages/admin/Notifications.jsx; docs/schema/supabase -Schema.md; memory/PRD.md,app/supabase/migrations/032_admin_settings.sql
age_criteria,table,4,17,3,app/backend/app/scraping/runner.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/migration-reference/scraping/old-runner.ts; docs/schema/supabase -Schema.md,app/backend/app/eligibility/engine.py; app/backend/app/eligibility/runner.py; app/backend/app/eligibility/schemas.py; app/backend/app/scraping/runner.py; app/backend/tests/eligibility/test_engine.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_engine.py; app/backend/tests/test_scrape_runner_promote.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/reference/MIGRATIONS.md; docs/engineering/aggregator-first-ingestion-strategy.md; docs/migration-reference/eligibility/old-engine.ts; docs/migration-reference/eligibility/old-runner.ts; docs/migration-reference/scraping/old-runner.ts; docs/schema/supabase -Schema.md; memory/PRD.md,app/supabase/migrations/007_scrape_queue_data_quality.sql; app/supabase/migrations/017_scraper_trust_evidence.sql; app/supabase/migrations/025_admin_promote_recruitment_payload.sql
aggregator_listings,table,3,4,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/044_aggregator_candidate_layers.sql; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/engineering/aggregator-first-ingestion-strategy.md; docs/engineering/source-intelligence.md; docs/schema/supabase -Schema.md,app/supabase/migrations/044_aggregator_candidate_layers.sql
ai_action_policies,table,5,5,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/035_ai_action_policies.sql; docs/engineering/admin-strategy.md; docs/engineering/ai-strategy.md; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/engineering/admin-strategy.md; docs/engineering/ai-strategy.md; docs/product/roadmap.md; docs/schema/supabase -Schema.md,app/supabase/migrations/035_ai_action_policies.sql
ai_jobs,table,2,2,1,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/supabase/migrations/020_ai_infrastructure.sql
ai_prompt_versions,table,2,2,1,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/supabase/migrations/020_ai_infrastructure.sql
ai_review_queue,table,2,2,1,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/supabase/migrations/020_ai_infrastructure.sql
alert_deliveries,table,2,2,0,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,
alert_events,table,4,2,2,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/003_v_notification_feed.sql; app/supabase/migrations/010_notification_alerts_unique_fanout.sql; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/supabase/migrations/003_v_notification_feed.sql; app/supabase/migrations/010_notification_alerts_unique_fanout.sql
aspirant_certifications,table,3,11,0,app/backend/app/api/canonical.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,README.md; app/backend/app/api/canonical.py; app/backend/app/eligibility/runner.py; app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py; app/backend/tests/test_profile_advanced_contract.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md,
aspirant_education,table,5,12,0,app/backend/app/api/canonical.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/migration-reference/eligibility/old-runner.ts; docs/schema/supabase -Schema.md; memory/PRD.md,README.md; app/backend/app/api/canonical.py; app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py; app/backend/tests/test_profile_contract.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/migration-reference/eligibility/old-runner.ts; docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md; memory/PRD.md,
aspirant_exam_attempts,table,3,10,0,app/backend/app/api/canonical.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,README.md; app/backend/app/api/canonical.py; app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py; app/backend/tests/test_profile_advanced_contract.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md,
aspirant_exam_credentials,table,5,10,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/046_exam_credentials.sql; docs/migration-reference/eligibility/old-runner.ts; docs/schema/supabase -Schema.md; memory/PRD.md,README.md; app/backend/app/eligibility/runner.py; app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/migration-reference/eligibility/old-runner.ts; docs/schema/supabase -Schema.md; memory/PRD.md,app/supabase/migrations/046_exam_credentials.sql
aspirant_experience,table,3,9,0,app/backend/app/api/canonical.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/backend/app/api/canonical.py; app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py; app/backend/tests/test_profile_advanced_contract.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md,
aspirant_location,table,2,7,0,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md,
aspirant_preferences,table,4,12,0,app/backend/app/api/canonical.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/migration-reference/eligibility/old-runner.ts; docs/schema/supabase -Schema.md,README.md; app/backend/app/api/canonical.py; app/backend/app/eligibility/runner.py; app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py; app/backend/tests/test_profile_contract.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/migration-reference/eligibility/old-runner.ts; docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md,
aspirant_reservations,table,2,7,0,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md,
attempt_limits,table,2,13,0,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/backend/app/eligibility/engine.py; app/backend/app/eligibility/runner.py; app/backend/app/eligibility/schemas.py; app/backend/tests/eligibility/test_engine.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_engine.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/reference/MIGRATIONS.md; docs/migration-reference/eligibility/old-engine.ts; docs/migration-reference/eligibility/old-runner.ts; docs/schema/supabase -Schema.md; memory/PRD.md,
candidate_observations,table,3,4,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/044_aggregator_candidate_layers.sql; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/engineering/aggregator-first-ingestion-strategy.md; docs/engineering/source-intelligence.md; docs/schema/supabase -Schema.md,app/supabase/migrations/044_aggregator_candidate_layers.sql
career_progression,table,2,2,0,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,
certification_criteria,table,2,8,0,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/backend/app/eligibility/engine.py; app/backend/app/eligibility/runner.py; app/backend/app/eligibility/schemas.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_engine.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,
certifications,table,4,12,1,app/backend/app/api/canonical.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/077_certifications_registry_metadata.sql; docs/schema/supabase -Schema.md,app/backend/app/api/canonical.py; app/backend/app/eligibility/runner.py; app/backend/app/profile/eligibility_mapper.py; app/backend/app/profile/eligibility_profile.py; app/backend/tests/test_eligibility_mapper.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/frontend/src/features/profile/components/CertificationsSection.jsx; app/frontend/src/features/profile/hooks/useProfileData.js; app/frontend/src/services/profileService.js; docs/engineering/frontend-form-validation.md; docs/migrations.md; docs/schema/supabase -Schema.md,app/supabase/migrations/077_certifications_registry_metadata.sql
chat_sessions,table,3,2,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/039_ai_chat_setup.sql; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/supabase/migrations/039_ai_chat_setup.sql
community_channels,table,3,3,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/050_community_foundation.sql; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/product/roadmap.md; docs/schema/supabase -Schema.md,app/supabase/migrations/050_community_foundation.sql
community_replies,table,3,3,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/050_community_foundation.sql; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/product/roadmap.md; docs/schema/supabase -Schema.md,app/supabase/migrations/050_community_foundation.sql
community_reports,table,3,3,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/050_community_foundation.sql; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/product/roadmap.md; docs/schema/supabase -Schema.md,app/supabase/migrations/050_community_foundation.sql
community_spaces,table,3,3,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/050_community_foundation.sql; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/product/roadmap.md; docs/schema/supabase -Schema.md,app/supabase/migrations/050_community_foundation.sql
community_threads,table,3,3,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/050_community_foundation.sql; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/product/roadmap.md; docs/schema/supabase -Schema.md,app/supabase/migrations/050_community_foundation.sql
community_votes,table,3,3,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/050_community_foundation.sql; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/product/roadmap.md; docs/schema/supabase -Schema.md,app/supabase/migrations/050_community_foundation.sql
course_sections,table,3,4,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/049_marketplace_setup.sql; docs/schema/supabase -Schema.md,app/backend/app/api/canonical.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md; memory/PRD.md,app/supabase/migrations/049_marketplace_setup.sql
courses,table,4,9,1,app/backend/app/api/canonical.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/049_marketplace_setup.sql; docs/schema/supabase -Schema.md,app/backend/app/api/canonical.py; app/backend/app/api/placeholders.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/frontend/src/pages/Marketplace.jsx; docs/engineering/ai-strategy.md; docs/product/aspirant-platform-strategy.md; docs/product/vision.md; docs/schema/supabase -Schema.md; memory/PRD.md,app/supabase/migrations/049_marketplace_setup.sql
education_authorities,table,3,2,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/047_education_authority_grading.sql; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/supabase/migrations/047_education_authority_grading.sql
education_criteria,table,4,16,2,app/backend/app/scraping/runner.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/migration-reference/scraping/old-runner.ts; docs/schema/supabase -Schema.md,app/backend/app/eligibility/engine.py; app/backend/app/eligibility/runner.py; app/backend/app/eligibility/schemas.py; app/backend/app/scraping/runner.py; app/backend/tests/eligibility/test_engine.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_engine.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/reference/MIGRATIONS.md; docs/engineering/aggregator-first-ingestion-strategy.md; docs/migration-reference/eligibility/old-engine.ts; docs/migration-reference/eligibility/old-runner.ts; docs/migration-reference/scraping/old-runner.ts; docs/schema/supabase -Schema.md; memory/PRD.md,app/supabase/migrations/017_scraper_trust_evidence.sql; app/supabase/migrations/025_admin_promote_recruitment_payload.sql
educational_qualifications,table,2,2,0,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,
eligibility_recompute_queue,table,12,14,6,app/backend/app/api/admin_scrape.py; app/backend/app/eligibility/recompute_queue.py; app/backend/app/notifications/recompute_worker.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/011_auto_enqueue_eligibility_on_insert.sql; app/supabase/migrations/024_claim_eligibility_queue_rpc.sql; app/supabase/migrations/078_eligibility_recompute_queue_hardening.sql; app/supabase/migrations/079_recompute_queue_active_scope_index.sql; app/supabase/migrations/081_queue_query_indexes_and_cleanup_candidates.sql; app/supabase/migrations/082_queue_query_composite_indexes.sql; docs/engineering/queue-query-analysis.md; docs/schema/supabase -Schema.md,README.md; app/backend/app/api/admin_scrape.py; app/backend/app/eligibility/recompute_queue.py; app/backend/app/notifications/recompute_worker.py; app/backend/tests/test_profile_advanced_contract.py; app/backend/tests/test_profile_contract.py; app/backend/tests/test_recompute_queue_behaviour.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/engineering/code-review-pipeline-implementation-steps.md; docs/engineering/queue-query-analysis.md; docs/engineering/runbook.md; docs/feature-registry.md; docs/schema/supabase -Schema.md; memory/PRD.md,app/supabase/migrations/011_auto_enqueue_eligibility_on_insert.sql; app/supabase/migrations/024_claim_eligibility_queue_rpc.sql; app/supabase/migrations/078_eligibility_recompute_queue_hardening.sql; app/supabase/migrations/079_recompute_queue_active_scope_index.sql; app/supabase/migrations/081_queue_query_indexes_and_cleanup_candidates.sql; app/supabase/migrations/082_queue_query_composite_indexes.sql
